"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"Upper Andersonstown Community Forum","JET (Jobs, Education and Training)","2011","770,711.50","","209,146.66","BT11 8NE","P1","£ 1,185,712.00","The purpose of the project is to provide a Community Job, Education and Training (JET) Project which targets, groups experiencing significant employment gaps such as people with disabilities and health conditions, lone parents and other disadvantaged people, older workers, young people not in education, employment or training, women and people with no or low qualifications, and other disadvantaged groups, including people experiencing multiple disadvantage. The Project will contribute to the reduction of economic inactivity and increase workforce skills. The JET Project will contribute to employment policies and contribute to making progression towards increasing the overall employment rate and reducing inactivity in by extending employment opportunities in particular for those groups at a disadvantage in the labour market.  It will also contribute to skills policies by raising the skills levels of people through lifelong learning and ensure the right workforce skills for future employment opportunities. The Project in its implementation will help promote sustainable development and work towards the creation of sustainable communities. The Project will add value to current local Government provision in that it will be based in an area of multiple deprivation. In geographical terms the Forum’s target area has been designated an area of TSN and falls with the EH&SS; Boards Health Action zone.  Recent information from the NI Statistics and Research Agency (NISRA) report “NI Multiple Deprivation Measure 2005” (May 2005) shows that the Glen Road Ward ranks 29th most deprived out of the 582 wards in the region.  Therefore the Glen Road ward falls within worst 5% of the regions most disadvantaged wards.  It is ranked as a Super Output Area under Neighbourhood Renewal, DSD."
"Action Mental Health","AMH Skills Build Project","2011","459,379.00","","184,556.72","BT19 7TU","P1","£ 707,518.00","The AMH Skills Build project delivers high quality, person centred accredited pre-vocational and vocational training, employment programmes and specialist support services to people with a learning disability with a view to tackling the long-term unemployment, social exclusion and economic inactivity levels commonly experienced by this group."
"Praxis Care","Moving on up!","2011","1,888,410.50","",".00","BT9 7AA","P1","£ 2,905,247.00","Praxis Care, a registered Northern Ireland charity wish to develop an innovatative and unique training programme for people with a learning disability and / or mental health problems to prepare them for sustainbale employment."
"NORTH CITY TRAINING","Grey Workers Programme","2011","281,189.00","","60,177.92","BT15 2GZ","P1","£ 475,439.00","The purpose of this Project is to establish a 60 place Intermediary Labour Market Programme (ILM) for long-term unemployed and economically inactive adults (aged 50+) in the Shankill, Ardoyne, Shore Road, New Lodge and Rathcoole areas.  Employment will be with private sector.  Short accredited courses linked to the client’s occupational aim will be provided to participants.  The project will operate over a 3-year period with 20 participants per year."
"Ballybeen Women's Centre","Steps to Employment Project (StEP)","2011","170,220.00","","59,778.64","BT16 2QE","P1","£ 261,878.00","StEP will enhance the employability of individuals and groups experiencing multiple forms of disadvantage and exclusion through the delivery of a skills based edcuation and training project."
"Reconnect","Reconnect's Social Enterprise","2011","254,252.70","","68,766.25","BT6 9SS","P1","£ 391,158.00","Reconnect provides a prevocational training service to brain injured clients at a dedicated facility in the Castlereagh Hills.  We are able to offer training in practical skills such as horticulture as well as basic skills such as literacy and numeracy.  Its relative solitude offers a calm environment appropriate to  the specific needs of brain injured people. Reconnect's Social Enterprise Programme (RSE) will offer a number of adults with acquired brain injury the opportunity to work in a safe and caring enviornment.  We would specifically target people with acquired brain injury who have a prominent emotional or addiction problem.  This particular group exist on the very margins of our society and many have alcohol or drug addicitons, anger management issues or have committed crimes.  Many of these people are in secure accommodation or on probation.  This project will  offer them a valuable and unique experience making a real difference to their life and to the community."
"Association For Real Change (NI)","Get a Life!","2011","181,559.00","","21,144.99","BT15 5AL","P1","£ 279,322.00","Project will involve a demonstration micro enterprise project based in Belfast working mainly with people who have a learning disability"
"The Women's Centre","PROSPER","2011","515,342.00","","135,038.99","BT48 6BB","P1","£ 813,280.00","The PROSPER project will provide  a dedicated support programme  to enable and support people into sustainable employment. The project will also develop a job creation programme and a jobs  information and coaching service to run alongside the employment related skills training. The project will act as a catalyst to increasing  employment in disadvantaged communities."
"Newstart Education Centre","Newstart Education Centre","2011","430,632.00","","18,836.43","BT13 2QU","P1","£ 662,513.00","Our project fits with Priority 1 NI ESF Programme because it is aimed at the hardest-to-help groups, lone/disadvantaged parents, the unemployed and/or economically inactive, unskilled and poorly-qualified adult learners, those who have contact with the Justice and Care systems, ex-offenders, socially excluded young adults, young marginalised people aged 16-25 who are not in employment education or training (NEETs) and14-16 pre-NEETS.  Newstart’s 3 strand provision for AEP, Family Support and Community Education Outreach informs us that a community infrastructure must be viewed in its entirety and not by its individual components, resulting in us engaging not just a young person but also the family and community to which they belong. This will lead to authentic change and genuine long-term opportunity for sustainable employment, breaking the cycle of disadvantage, which is what led to unemployment and economic inactivity in the first place."
"Windsor Women's Centre","Thalia","2011","342,006.60","","50,180.76","BT12 6HY","P1","£ 526,164.00","The aim of Windsor Women's Centre is to address the root causes of intergenerational poverty and disadvantage for women.  The objectives of our Education and Training Project ""Thalia"" is to equip women with employable and transferable skills which can then be used to enhance their lives and employment prospects."
"Greater Village Regeneration Trust","Tools for Life","2011","457,548.65","","97,011.13","BT12 5NP","P1","£ 703,921.00","This project will deliver a range of interventions aimed at holistically preparing an individual for the world of work.  It will deliver both pre-employment development, employment support and post employment support to ensure continuity of employment."
"Opportunity Youth","Switch on to Employment - SOE","2011","507,014.30","",".00","BT1 2LB","P1","£ 780,022.00","creative and innovative programme that addresses the needs of those aged 16 – 24 who are marginalised and at risk.  This programme of support and intervention will help to improve the employability of young people/adults aged 16 -22 who are at a real risk of being excluded from education, training and meaningful employment.       The Switch on to Employment programme will target young people /adult who are involved with statutory agencies such as PBNI, YJA, YOC and Social services and will be Belfast City Centre based."
"Women's Resource and Development Agency","Facilitating Women into Employment","2011","178,524.45","","61,697.44","BT7 1NZ","P1","£ 274,653.00","The project will train women from Ballymena, Cookstown and Belfast to NVQ Level 3 in Learning and Development, then train them to deliver a variety of programmes and support them into self-employment by providing work through Community Direct, the social economy enterprise of the Women's Resource and Development Agency."
"Southern Regional College","Employ Me","2011","1,366,222.00","","291,246.16","BT35 8DN","P1","£ 2,110,533.00","The project will offer a pathway into work through structured training programmes linked to a number of industry sectors for unemployed and inactive people of all ages. The programme will focus heavily on breaking down traditional barriers to employment associated with this target audience. The programme will offer a number of pathways into employment in the following sectors: Engineering, IT, Financial services, Hospitality Retail and Sustainable Construction Each pathway has been designed in consultation with local employers to ensure that participants are job ready upon completion, leading to employment with the identified companies immediatley after training."
"East Belfast Enterprise","The Megabyte Programme","2011","139,425.65","","38,663.85","BT5 4GX","P1","£ 214,501.00","The project will be aimed at 16-19 year old unemployed youth, no formal qualifications or experience or deemed difficult to reach by normal mainstream promotion. The project will provide participants with personal and enterprise development to learn and develop skills in new media and IT.  Through participation, delegates will gain confidence and motivation to progress to further training, including the ‘Go for it’ programmes and Steps to Work.  They may also develop social enterprise start-ups servicing local community groups or engage in work placements with small businesses to gain further understanding of career opportunities and develop additional vocational and employability skills."
"Disability Action","Support Works","2011","480,017.85","",".00","BT3 9ED","P1","£ 738,489.00","Support Works provides dedicated, learning support to disabled trainees with the highest support on the Training for Success Programme.  It aims to increase trainees' ability to gain qualifications, improve their personal capabilities and to improve their employment opportunities.  4 workers based in Disability Action's offices will work in partnership with Training Programmes Branch, the Careers Service and Training Suppliers.  The project will also work with employers to encourage them to provide work placements for trainees."
"Conservation Volunteers Northern Ireland","Training for Employment","2011","696,378.05","",".00","","P1","£ 1,083,383.00","Conservation Volunteers Northern Ireland (CVNI) proposes to run a new ESF scheme over the next 2 years from 2011 - 2013, based at our 5 offices in Belfast, Bangor, Coleraine, L’derry and Fermanagh, to provide volunteering, work experience and accredited training for 120 unemployed people per year to help them gain sustainable employment.     The participants will include people who already volunteer with CVNI and also people who have recently completed the back to Work option of Steps to Work. Many of these people will have multiple barriers to employment and many will fall within the target groups of Priority 1 including women, young people, older people, people with health problems and people who live in some of the most deprived areas.    CVNI will work with people in a flexible way and involve them in real work activities with both on-the-job and structured training and support to help them gain qualifications and seek employment.    To achieve annual outputs of:  120 trainees gain some qualification.  27 Participants entering employment.  60 trainees gain a Level 2 qualification.   25 trainees undertake Essential Skills training.   100 trainees gain relevant qualifications/units.  120 trainees achieving measureable soft outcomes."
"The Prince's Trust - Northern Ireland","Journey to Success","2010","4,321,194.00","",".00","BT15 3HN","P1","£ 6,647,994.00","The purpose of the 'Journey to Success' Programme is to support 5,200 hard-to-reach young people throughout Northern Ireland towards sustainable employment by improving their employability"
"Roe Valley Community Education Forum","More Flexible Steps","2011","401,960.00","","149,518.54","BT49 9BG","P1","£ 618,400.00","The More Flexible Steps project aims to engage with members of the Limavady Borough who are facing multiple barriers to employment including young people, women returners, those with disabilities and those economicall inactive including people recently made redundant.  The objectives of the project are to personally develop, reskill or upskil through training the participants enabling them to rejoin the workforce.  This will have a positive effect on our local economy."
"The appleby trust ltd","Print it Dungannon","2011","169,924.00","","73,352.19","","P1","£ 261,498.00","The appleby trust is seeking to secure funding  to establish a social  firm in Dungannon, ""Print it Dungannon"" This social economy project will incorporate as an emerging social firm which will operate as a business servicing  the community and local business'.The project will operate as a sheltered white collar working environment for 20 people with disabilities  and high functioning autism engaging and 15 completing. offering a business service to local SMEs and the voluntary sector generating an income stream.The partipicitants will be involved in time bound training working towards and gaining basic skills, entry level qualifications and other qualifications appropriate to the participants needs.Through the business of the social firm the participants will gain the skills to enhance their  employability and reduce the inactivity and significant employment gaps of this group of people.New skills in administration, use of I.T, using equipment,quality control,moving stock and processing orders.From past experience of Print it in Armagh the participants will have full ownership of the project by being involved in a user steering group.The appleby trust will have the support of Invest N.I from a  speacilist business Advisor mentoring and advising. The appleby trust will use funding to employ a marketing manager to work between both projects to develop a marketing and sales stratagy."
"Strathfoyle Women's Activity Group Ltd","SWAG Community Empowerment Program","2011","469,973.40","","144,697.96","BT47 6XP","P1","£ 723,036.00","Strathfoyle Women’s Activity Group, was established in July 1986, aims “to relieve poverty, to advance educational opportunities and to provide better health and welfare through the provision of facilities and activities for women, lone parents and pre-school children of Strathfoyle and Maydown”. We are making an application under the program Priority 1 ‘Helping people into sustainable employment’, we are currently funded under this measure and we now wish to build on this and continue our project. Our project is designed to empower individuals while building their capacity to enable them to participate in training events and development activities & health events. The long-term outcome being that their self-esteem, self awareness and confidence is raised equipping them to become re-integrated into the labor market, also in doing this we aim to break down the barriers to participation i.e. Crèche facilities being available for all day-time activities to enable women to participate.  We are based within the housing estate of Strathfoyle, within walking distance for all residents. In 2003, we had our centre extensively renovated & expanded, this included incorporating the following:  * Increased & Upgraded Training facilities, * Larger ICT suite with internet facilities, * Larger crèche also catering for our Parent & Toddler group, * Toy Library, * Appropriate Office accommodation, * Appropriate access & facilities for the disabled.  This allows our group to provide the following Community development initiatives and activities:  	Additional recreational, vocational & Essential skills training delivered at a local level  	Recognized ICT qualifications delivered at a local level  	Excellent quality, appropriately staffed on-site crèche facilities to allow for full participation of women.  	Stay & Play group for parents/carers and their children which runs twice weekly.  	Drop-in/Respite Childcare for local families giving them much needed ‘time out’ to attend appointments or do errands  	Age appropriate, excellent quality play facilities through our Toy Library.  	Childminding Network - training & enabling women to become self-employed as childminding, also ‘freeing’ other women to return to employment having their children cared for by qualified, registered local childminders.  	Careers advice and guidance for those looking for employment and those looking for a career change.  	Positive Ageing Program offering a social and recreational outlet for women aged 55 plus    	We provide access & full participation for all irrespective of disability.    The majority of our training is accredited through various awarding bodies including RSA, City & Guilds, Open College Network, SAGE & CLAIT etc, however other programs are non-accredited and offer benefits such as a raising in self-esteem, self awareness & confidence which often is the first step to empowerment. Our current program is as follows: Home Comforts, Jo Jingles, Yoga, Echo Echo dance company, Weight Management, NIPPA Voice of the child, Time for Me, Photoshop (CS 3), GCSE Maths, Spanish for beginners, Healthy foundations, Start IT, GCSE English, Floral art, Clait (advanced), Positive Ageing Program, Sage Accounts (Level 3), Career Advice Shop - a free Crèche is available for all day time classes to enable women to attend  We also Work strategically with other women’s centres and groups through the Women’s Centres Regional Partnership  on social, economic and community development issues"
"North Belfast Partnership","Local Employment Access Partnership","2011","300,112.10","","111,508.66","BT15 2GG","P1","£ 461,711.00","The purpose of the Local Employment Access Partnership (LEAP) project is to help people into sustainable employment (ESF Priority 1) by addressing the barriers which they face through a number of dedicated activities, including;  Emplyer engagement, employability & pre employment training, post placement support promoting sustainable career development"
"Belfast City Council","Belfast City Council Hospitality ESF Programme","2011","397,223.00","","6,715.65","BT2 8BP","P1","£ 632,834.00","Training to assist unemployed people into sustainable employment in the hospitality sector"
"Clanrye Group","Clanrye Retail Social Enterprises Ltd","2011","445,338.00","",".00","BT35 8QS","P1","£ 685,135.00","Clanrye Retail Enterprises aims to train and develop people with a physical disability in retail and associated enterprises to enable them to secure meaningful and long term employment opportunities and prgression within the retail sector. The Enterprise will consist of the folowing; substantial shop front, retailing, goods form social enterprises, a middle section will provide an internet based sales and post sales support to the general public while the back section will provide fresh produce and gifts to the local population."
"Omagh District Council for and on behalf of Omagh District Training Consortium","Omagh Training & Employability Support (OTES)","2011","1,531,087.00","","221,838.67","","P1","£ 2,355,520.00","OTES offers targeted 'added value' support to existing provision e.g. Steps to Work, promoting activities to help reintegrate those furthest from the labour market.  The project will be working in parnership with other support organisations to tackle a clearly identified need offering new and innovative interventions, developed through years of experience in this field to improve employability. It embraces social inclusion, tackles and prevents worklessness, increases training/qualification opportunities, enables mentoring and coaching and supports sustainable jobs including the creation of self employment.      The project will cut across 4 themes:    1. Innovation, Career Adjustment, Re-skilling, Lifelong Learning     Identifying the gaps in the current workforce and providing participants with the skills to fill the gaps.  2. Personal and Professional Development      Supporting participants to increase their employability and opportunity for sustainable employment  3. Health and Well Being     Promoting the benfits of a healthy lifestyle to overcome barriers to employment  4. Employer Engagement    Continued inclusion of employers in the development of our services through the emplyers focus group, employer engagement and employer support during workplacements.    In keeping with best practice all clients will undergo a robust initial needs assessment with a flexible menu of supports available to meet the needs of their individual action plan. They will be provided with guidance in skills that employers are looking for and receive individual client specifice support thus enabling them to progress towards achieving sustained employment."
"The Bytes Project","Connect Youth","2011","313,326.00","","93,138.68","","P1","£ 482,040.00","The Connect Youth programme is aimed at   supporting unemployed young people to reduce barriers to accessing work through a co-ordinated service, tailored to individual needs."
"Job Directions Ltd","Able for Work","2011","255,781.50","",".00","BT82 8AR","P1","£ 393,510.00","We wish to encourage and support those people claiming Incapacity Benfit or Employment Support Allowance in the Strabane area to return to work either full time or part time.  We also aim to engage with employers in order to encourage them to consider employing people on health related benefits including those who are only able to work part time.  We also aim to create role models by providing a programme of temporary part time employment for 100 benefit claimants."
"Triax","DERRY 2020","2011","2,389,770.00","","1,117,854.25","BT48 9LH","P1","£ 3,676,569.00","DERRY 2020 project is a major collaboraitive bid, lead by Triax, the Neighbourhood Partnership Boards and RAPID.  The project is a key investment in increasing employment, reducing unemployment and economic inactivity by improving the employability of those groups experiencing significant employment gaps.      The project will incorporate a combination of activities from personal development, employability workshops, level 0 -2 courses, higher level (3+) specialised courses, practical/ vocational options, job sampling, and Intermedicate Labour Market (ILM) options."
"Network Personnel","'Up for Work'","2011","1,882,299.00","","234,508.82","BT45 5AJ","P1","£ 2,895,845.00","The proposed project 'Up for Work' will draw participants from the Magherafelt and Cookstown District Council areas. The project will have two strands:  1. The creationof a community employment programme.    2. The provision of enhanced employer subsidies."
"DEL Training Programmes","Training for Success","2011","64,653,331.00","",".00","","P2","£ 64,653,331.00","Government programme training for success"
"Training Programmes Branch","Training for Success","2011","56,640,480.64","","56,640,480.64","","P1","£ 56,640,480.64","Government Programme"
