"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"Nu Print Technologies Ltd","RD1211891 - Nuprint Wine Labelling Development","2012","35,578.00","2016","26,916.81","BT48 0LY","P1","£ 79,062.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Petal Postforming Ltd","RD0711785  Pre-Plumbed Modules (PPM)","2011","36,757.00","2015","33,081.96","BT94 1ET","P1","£ 81,683.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Porta-Fill International Ltd","RD0411739  Design of Compact Mobile Impact Crusher","2011","32,944.00","2015","27,944.00","BT70 1LT","P1","£ 82,360.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"SIGNAL, North Down Borough Council","Business Assist","2013","145,206.00","2016","121,426.79","BT19 7PD","P2","£ 193,608.00","Business Assist is a new model of Business Support in North Down acting as a stimulus for economic growth by giving businesses access to a package of support that can be tailored to meet individual needs. It will be built around a core process whereby each participant will be assisted to develop specific and individual plans for improved performance in the areas initially identified through a web portal and by follow up input from advisers and specialist mentors as appropriate."
"R & R Power & Control Systems Ltd T/a R & R Engineering","RD0611763  Development of an Automated Angioplasty Balloon Dip Moulding Machine","2011","44,780.00","2015","30,168.32","BT23 6BL","P1","£ 89,561.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Kiverco Ltd","LoO 11/0584 SFA","2011","41,500.00","2016","40,023.09","BT71 5EE","P2","£ 103,750.00","To Support investment and employment related projects which increase business productivity"
"SCL Exhausts Ltd","LoO 11/0690 SFA","2011","27,708.00","2016","11,525.40","BT71 6JT","P2","£ 110,832.00","To Support investment and employment related projects which increase business productivity"
"Richard Hill, Oonagh Fitzpatrick & Fiona Fitzpatrick T/a Delivery Services","LoO 11/101125957 IM","2011","14,700.00","2015","14,700.00","BT12 5BG","P1","£ 30,000.00","Aims to provide additional functional or general management capability and capacity on a time limited basis normally in a “hands on”/ line management role at a senior but sub-board level. Directly related to the delivery of a specific business improvement project."
"Ryco Web Ltd","LoO 11/101137001 IM","2011","14,700.00","2015","14,700.00","BT34 2PN","P1","£ 30,000.00","Aims to provide additional functional or general management capability and capacity on a time limited basis normally in a “hands on”/ line management role at a senior but sub-board level. Directly related to the delivery of a specific business improvement project."
"Screen Ireland Ltd C/o Johnston Kennedy DFK","LoO 11/101131634 IM","2011","6,125.00","2015","2,756.25","BT3 9LE","P1","£ 12,500.00","Aims to provide additional functional or general management capability and capacity on a time limited basis normally in a “hands on”/ line management role at a senior but sub-board level. Directly related to the delivery of a specific business improvement project."
"International Synergies (ISL) Ltd","Industrial Symbiosis Services Programme 2011/2012","2011","195,048.00","2015","155,306.17","BT63 5PP","P1","£ 195,048.00","The overall aim of the programme is to reduce environmental impact and to enable companies to become more resource efficient"
"International Synergies (ISL) Ltd","Industrial Symbiosis Services Programme 2012/2013","2011","260,064.00","2015","246,727.96","BT63 5PP","P1","£ 260,064.00","The overall aim of the programme is to reduce environmental impact and to enable companies to become more resource efficient."
"International Synergies (ISL) Ltd","Industrial Symbiosis Services Programme 2013/2014","2011","260,064.00","2016","233,339.32","BT63 5PP","P1","£ 260,064.00","The overall aim of the programme is to reduce environmental impact and to enable companies to become more resource efficient."
"MIS Internally Created Application","NITB Staffing Support 2012-2013","2012","20,000.00","2015","19,999.99","","P4","£ 20,000.00","Staffing support for implementation of EU funding"
"Evron Foods Ltd","LoO 15/12/2009 SFA","2009","650,000.00","2016","305,598.86","BT63 5WD","P2","£ 3,250,000.00","To Support investment and employment related projects which increase business productivity"
"Kainos Software Ltd","RD0911814  Development of Electronic Medical Record Software","2011","77,127.75","2015","63,754.20","BT7 1NT","P1","£ 171,395.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Banah UK Ltd","RD0811804  Development of Geopolymer Cement","2011","25,475.00","2015","25,475.00","BT39 9UG","P1","£ 50,950.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Queens University Belfast","RD1011845 - Validation of Novel Biomarker Defining Colorectal Cancer Patients Sensitive to EGFR","2011","49,229.00","2015","44,243.84","BT7 1NN","P1","£ 65,639.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Mobile Report Ltd","RD0112908  Development of a Mobile and Web Report Generation Service","2012","35,389.50","2015","34,734.71","","P1","£ 47,186.00","Development of a mobile and web report generation service."
"Deluxe Art & Theme Ltd","RD0710624 - Sponsor","2011","91,000.66","2015","79,561.63","BT62 3EH","P1","£ 227,501.66","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"United Dairy Farmers Ltd","RD0611759","2011","120,429.00","2016","98,403.04","BT3 9LS","P1","£ 495,595.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"JAR Technologies Ltd T/a JAR","RD0312005 - iLoad","2012","46,333.00","2015","35,672.23","BT3 9JP","P1","£ 66,190.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Queens University Belfast","RD0711779 - Enabling Tidal Energy Research for Northern Ireland (EnTER NI)","2011","11,799.00","2015","2,484.00","BT7 1NN","P1","£ 11,799.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Boxpak Ltd","LoO 11/1052 SFA","2012","90,900.00","2016","48,852.46","BT36 7LR","P2","£ 519,431.00","To Support investment and employment related projects which increase business productivity."
"Dernaseer Engineering Ltd","RD0511749  Mobile Tracked Stockpiler Hopper with Full 360 Degree Slew","2011","68,584.00","2015","65,918.40","BT70 3BW","P1","£ 171,460.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"OMJ Ltd T/a The Oil Market Journal","RD0112905","2012","120,130.00","2016","119,382.75","BT74 4EJ","P1","£ 266,955.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Dungannon & South Tyrone Borough Council","E Procurement Business Support Programme","2013","43,500.00","2016","33,881.75","","P2","£ 58,000.00","This project will target owner/managers from growth orientated small businesses and provide a tailored programme of support which will enable them to effectively tender for public goods and services in Northern Ireland, the Republic of Ireland, Great Britain and into mainland Europe."
"Dungannon and South Tyrone Borough Council","Innovation & Business Growth Programme","2012","75,000.00","2016","62,636.82","BT71 6DT","P2","£ 100,000.00","The aim of the Innovation and Business Growth Programme is to assist micro SMEs and non active Invest NI clients in the Manufacturing,  Engineering and Tradeable Services sectors in the Dungannon & South Tyrone Borough Council area, to achieve growth through developing innovative production or business processes.  This will be achieved by will be achieved through implementing a range of activities over a number of phases as outlined below:  •	Target 40 businesses to participate on the programme over 2 years.  •	Undertake an awareness/promotion/recruitment event  •	Undertake business assessments of 40 participating businesses  •	A Business Seminar for participating companies  •	Baselines established for the participating businesses.  •	Targets established for each of the participating businesses  •	40 Business Improvement Plans conducted  •	40 Business Plans developed to support improvement plans  •	One to One Consultancy /Technical support to progress business plans and improvement plans to support entry into Invest NI mainstream programmes   •	Monitoring and measurement of progress against established targets and initial baselines.  •	Real Time Evaluation of the programme in year 1 and year 2 against established targets."
"Dungannon & South Tyrone Borough Council","Graduate to Enterprise Programme","2012","110,250.00","2016","78,208.11","BT71 6DT","P2","£ 147,000.00","The Graduate to Enterprise Programme aims to create self-employment or business start opportunities in the Dungannon and South Tyrone area, by targeting and exploring latent entrepreneurship in the Borough amongst graduates, unemployed professionals, unemployed individuals and technical individuals. The programme will also focus on bringing business concepts/ideas to market or commercialisation, which should lead to the establishment of new businesses in the area and leading to job creation in the Dungannon and South Tyrone Borough Council area."
"Kiverco Ltd","LoO 11/1094 MIS","2012","25,000.00","2015","15,107.43","BT71 5EE","P1","£ 92,650.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Ballyrashane Co-Op Agricultural & Dairy Society (1990) Ltd","RD0811793 - Development of a Process to Produce Unsalted Lactic Butter from the Output","2011","10,226.00","2015","9,821.87","BT52 2NE","P1","£ 20,452.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Patrick, Dympna, Oliver & Peter McCann T/a P McCann & Sons","RD1011832 - Production of Confectionary Products","2011","13,000.00","2015","11,451.01","BT63 5RH","P1","£ 37,145.90","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Stirk, Lamont & Associates Ltd","RD0112914  Mobile Information Brokerage System","2012","47,115.20","2015","18,258.38","BT3 9DT","P1","£ 85,664.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Pneutrol International Ltd","RD0212957 - Aqua-Trak","2012","7,555.00","2015","5,996.86","","P1","£ 15,111.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Moyola Precision Engineering Ltd","LoO 11/1075 MIS","2012","25,000.00","2016","24,015.42","BT45 8AF","P1","£ 61,310.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Lamont Fireplaces Ltd","LoO 10/0804 MIS","2011","11,760.00","2015","11,203.14","BT52 1BS","P1","£ 31,935.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"SpeechStorm Ltd","RD1011831 - Speechstorm Mobile Customer Experience (MCX)","2011","6,134.80","2015","5,533.10","BT9 6AG","P1","£ 15,337.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Farmwizard Ltd","RD0112913  Smartphone Enabled Dairy Feed Management Module","2012","17,471.25","2015","17,439.75","BT9 6DJ","P1","£ 38,825.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Franklins International Ltd","LoO 11/0135 MIS","2011","8,760.00","2015","8,760.00","BT32 3AU","P1","£ 21,900.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Queens University Belfast","PoC 201","2011","90,964.00","2016","59,362.13","BT7 1NN","P1","£ 90,964.00","To contribute to the growing knowledge economy in Northern Ireland by improving the level and quality if commercialisation coming out of NI’s two universities."
"Schrader Electronics Ltd","LoO 31/08/2010 SFA","2010","1,855,500.00","2016","1,848,249.00","BT41 1QS","P2","£ 6,185,000.00","To Support investment and employment related projects which increase business productivity."
"K-Point Internet Solutions Ltd","RD1211887 - RentPro Modular Architecture for Bolt-On Development and Sales","2012","21,947.00","2015","19,030.28","BT34 3NQ","P1","£ 54,868.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Cooneen Protection Limited","LoO 11/1201 MIS","2012","7,063.00","2015","7,062.50","BT75 0ND","P1","£ 20,375.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Waste Systems Ltd T/a Waste Systems Europe Ltd","RD1211882  Development of a HydroXtract Waste Separation Line","2012","7,588.80","2015","6,418.16","BT79 8EQ","P1","£ 18,972.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Lewis Fertility Testing Ltd","LoO 11/101151963 IM","2012","9,800.00","2015","9,800.00","BT12 6BJ","P1","£ 20,000.00","Aims to provide additional functional or general management capability and capacity on a time limited basis normally in a “hands on”/ line management role at a senior but sub-board level. Directly related to the delivery of a specific business improvement project."
"3D Steelwork Ltd","LoO 11/0099 MIS","2011","9,035.00","2015","1,978.75","BT71 4ND","P1","£ 26,650.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Label One Ltd","LoO 09/1439 SFA","2010","131,000.00","2015","122,268.00","BT3 9JP","P2","£ 522,368.94","To Support investment and employment related projects which increase business productivity."
"Enviroform Solutions Ltd","LoO 11/0941 MIS","2012","11,900.00","2016","6,100.00","BT34 3PN","P1","£ 27,100.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Doreen & Maurice Davison T/a Davisons Quality Foods","LoO 12/0068 MIS","2012","5,345.00","2015","2,705.00","BT62 1RR","P1","£ 12,310.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"French Village Bakery Ltd","LoO 1205/101152403 MIS","2012","5,760.00","2015","3,840.00","BT6 9HB","P1","£ 12,480.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Safety First Sales Ltd","LoO 12/0050 MIS","2012","6,084.00","2015","4,090.60","BT13 1GB","P1","£ 13,732.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Magellan Aerospace (Greyabbey) Ltd","LoO 04/02/2010 SFA","2009","1,313,870.00","2016","1,068,248.73","BT22 2QE","P2","£ 4,958,000.00","To Support investment and employment related projects which increase business productivity."
"Westland Horticulture Ltd","LoO 14/04/2011 SFA","2011","108,000.00","2016","42,658.96","BT70 1NJ","P2","£ 1,080,000.00","To Support investment and employment related projects which increase business productivity."
"Northern Ireland Screen Commission","LoO 1205/101109107 NISC - 2012/2013","2010","6,832,416.00","2015","6,832,416.00","BT2 8ED","P2","£ 6,832,416.00","Support for film, television and digital content production.  towards marketing and information services costs, festivals, conferences, skills development and admin costs."
"Northern Ireland Tourist Board","Spring Campaign 2012","2010","2,105,200.00","2015","2,103,455.40","","P2","£ 2,105,200.00","Promotion of Northern Ireland as a short breaks destination in botn NI and ROI markets"
"Forsythe Pendleton Jones Ltd","RD1111865  Development Video Portal, Database Access Protocol, Encrypted Subscriber","2012","167,399.50","2015","161,830.38","BT34 2QX","P1","£ 308,400.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Pollock Lifts Ltd","RD0112906 - Pollock Steplift Mark 2a and 2b","2012","87,753.00","2016","85,671.15","BT38 8GX","P1","£ 250,723.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Trunk Flooring Ltd","RD0911826","2012","12,625.00","2015","10,439.28","BT93 1TF","P1","£ 28,056.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Gareth Presley T/a Sliding Bifolds","RD0112925 - Curved Bifolding Door System","2012","43,458.00","2015","39,469.64","BT8 8EX","P1","£ 57,944.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Queens University Belfast","RD0312019  Enabling Tidal Research for Northern Ireland (EnTER NI)","2012","98,711.00","2015","88,201.40","BT7 1NN","P1","£ 98,711.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Northern Ireland Tourist Board","Summer 2012 Campaign","2012","1,255,659.34","2015","1,020,554.37","","P2","£ 1,255,659.34","Promotion of Northern Ireland as a short breaks destination in both NI and ROI markets"
"Motor Sport Trailers Ltd","RD0112921  Lightweight MotorSport Kart Trailer & Shower Pod","2012","39,186.00","2015","30,550.52","BT23 5PX","P1","£ 65,310.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Creagh Concrete Products Ltd","RD0811809 - Insulated Ground Floors","2011","48,203.00","2015","25,282.25","BT41 3SE","P1","£ 192,813.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Entec Studios Ltd","RD0212975  Avatari.me","2012","49,994.40","2015","49,752.27","BT46 5EY","P1","£ 74,000.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Agri-Food & Biosciences Institute","PoC 207 - Control of Diseases in Pigs that may be Associated with Porcine","2011","96,327.00","2015","38,624.65","BT9 5PX","P1","£ 96,327.00","To contribute to the growing knowledge economy in Northern Ireland by improving the level and quality if commercialisation coming out of NI’s two universities"
"DETI European Programmes - (DVMT)","Managing Authority - Article 13 Managed Service","2012","420,000.00","2016","346,390.50","","P4","£ 420,000.00","Support to deliver Article 13 On the Spot Management Verification checks on new projects in 2012/13 and 2013/14 within the Sustainable Competitiveness Programme"
"3D Steelwork Ltd","RD1011854  Maximus 620","2012","49,761.00","2015","49,299.18","BT71 4ND","P1","£ 165,869.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Geoffrey Baird & Joy Baird T/a Craigmore","LoO 11/1200 MIS","2012","9,275.00","2015","8,525.00","BT63 5RH","P1","£ 18,550.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"ATC Systems Ltd","LoO 11/0885 MIS","2012","12,537.00","2015","9,903.88","BT36 4EW","P1","£ 34,868.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Queens University Belfast","RD1111857 - Generation of a Genetic Signature of Susceptibility to Severe RSV Disease","2011","49,842.00","2015","49,842.00","BT7 1NN","P1","£ 66,456.00","The objective of this proposal is to exploit genomics technology for the development a companion diagnostic to identify infants with high risk from respiratory syncytial virus (RSV) infection."
"David Campbell & Wendy Campbell T/a County Down Stoves and Flues","LoO 12/0063 MIS","2012","10,495.00","2015","4,667.50","BT33 0SB","P1","£ 21,377.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Armstrong Medical Ltd","LoO 11/0346 MIS","2011","25,000.00","2015","21,797.00","BT52 1BS","P1","£ 77,015.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Sean Nugent Engineering Ltd","RD0112909  Dual Purpose Plant and Container Transporter","2012","34,237.00","2015","18,687.56","BT70 2PN","P1","£ 76,082.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Empower Energy Systems Ltd T/a Nr Genius","RD0312033  Development of Real-Time Integrated Domestic Energy Monitoring System","2012","49,580.00","2015","44,157.81","BT3 9LE","P1","£ 67,000.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"UPU Industries Ltd","RD0112924  TRM Project","2012","26,017.00","2015","14,307.41","BT25 1BY","P1","£ 40,026.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Warmflow Engineering Co Ltd","RD0312988  Warmflow Wood Pellet Boiler","2012","37,813.30","2016","37,030.40","BT28 2RF","P1","£ 108,038.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"OMG Software Ltd","RD0112918 - BB-BRIEFED","2012","49,700.00","2016","46,902.94","BT1 1NB","P1","£ 71,000.00","The product  is Software as a Service (SaaS) for Barristers which will  assist in managing a Barrister's legal practice by integrating their diary, documents, email and invoicing systems, thus allowing them to improve productivity and drive down costs currently associated with labourious administration. The product will use Cloud based hosting technology which will allow the product to provide a service which is accessible from any computer/laptop/tablet whilst the Barrister is on the move or at Court. It will be a safe platform for data  – both case documents and financial  - to be stored, providing the Barrister with peace of mind that the information is always retrievable,accessible and doesn't require 'backing up'."
"Taxizapp Ltd","RD0412057 - BB: SaaS Taxi Dispatch System","2012","48,716.00","2016","48,716.00","BT18 9HZ","P1","£ 64,954.66","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Acorn IT Solutions Ltd","RD1211876  Development of an advanced Cloud-based Gun Registry and e-Commerce","2011","5,002.00","2015","3,645.70","","P1","£ 10,004.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Moore Concrete Products Ltd","RD1011837 - Scoping Viability of Concrete Spun Poles for UK and Ireland Markets","2011","8,074.00","2015","4,066.98","BT42 4QH","P1","£ 16,149.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Cargobox Ltd","LoO 10/0612 MIS","2010","11,132.00","2015","3,784.06","BT3 9DT","P1","£ 29,580.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Belfast Aircraft Stress Engineers Ltd","LoO 10/0929 MIS","2011","23,206.00","2015","3,195.88","BT3 9DT","P1","£ 75,736.66","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Beatties Recycling Ltd","RD1111861  Development of a Low Cost Waste Separation Line","2011","6,054.00","2015","1,618.96","BT35 7EY","P1","£ 12,108.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Department for Regional Development","Clean Urban Transport (Phase 1) & (Phase 2) & (Phase 3)","2012","29,192,818.00","2016","29,192,757.76","","P3","£ 29,192,818.00","Phase 1  The purchase of 39 new Goldliner and 14 new double decker buses to assist in tackling congestion and pollution, increase consumer choice and raise standards. £11,600,000    Phase 2  The purchase of 54 Metro buses £10,500,000    Phase 3  The purcase of 12 double decker coaches"
"Randox Laboratories Ltd","RD0911815 - Design, Development and Manufacture of a Fully Automated Molecular Diagnostic Biochip","2012","515,754.85","2016","208,776.22","BT29 4QY","P1","£ 1,586,938.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"EOS Unified Solutions Ltd","RD0212974 - EOS Collab Cube","2012","47,820.50","2015","47,061.00","","P1","£ 68,315.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"University of Ulster","PoC 206 - Validation of an Improved Method for Identifying Functional Short Hairpin RNA Molecules","2011","48,413.00","2015","34,983.13","BT52 1SA","P1","£ 48,413.00","To contribute to the growing knowledge economy in Northern Ireland by improving the level and quality if commercialisation coming out of NI’s two universities."
"Rovipak Packaging Solutions Limited","RD0212966 - Quattrapack","2012","81,178.00","2015","74,361.09","","P1","£ 180,395.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Minprint Holdings Ltd","LoO 1205/101145509 SFA","2012","25,000.00","2016","25,000.00","BT5 6QP","P2","£ 125,000.00","To Support investment and employment related projects which increase business productivity."
"Newcmi Ltd","RD0212953 - CMI Cloud Compete","2012","50,000.00","2016","48,002.04","BT3 9LE","P1","£ 91,271.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"CDEnviro Ltd","LoO 11/0237 MIS","2011","16,686.00","2015","16,568.08","BT80 9DG","P1","£ 53,506.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"CCL Services (NI) Ltd","LoO 11/0700 MIS","2011","13,225.00","2015","12,977.80","","P1","£ 30,250.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Hannan Meats Ltd","LoO 11/0642 SFA","2011","46,000.00","2016","23,873.28","","P2","£ 115,000.00","To Support investment and employment related projects which increase business productivity."
"H&J; Martin Ltd","LoO 11/1193 MIS","2012","5,000.00","2015","5,000.00","BT7 1SP","P1","£ 14,500.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Ream Ltd","LoO 12/0069 MIS","2012","5,998.00","2015","5,997.50","BT5 4GX","P1","£ 11,995.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Camden Group Ltd","RD1109426  Innovative Accessories for Windows","2010","432,719.00","2015","391,515.84","BT41 1AB","P1","£ 1,730,876.00","Camden Group firmly believe that an opportunity has opened in the GB new build market for a class leading “A” rated energy efficient window delivered  and installed cost effectively with minimal management or the housebuilder customer. Camden propose to develop a brand new Window & Door profile system which will offer industry leading performance at a supremely competitive price through an intelligent web based ordering and tracking system. The project can be described under four areas.  • Design of a new window & door upvc profile system and  accessories  • Develop tooling for the new system  • Build extrusion capability in Camden Group  • Market and Sell the new Window System across island of Ireland and GB but with particular focus on new build GB market.  Key performance objectives for the project are:  • Achieve “A” rated performance without the need for low iron in DGU  • Achieve “A” rated performance in a Secure by Design format  • Design & Develop a customer friendly dedicated website tailored for the GB new build market which will enable customer to design, order and monitor progress of individual orders. There are currently no uPVC windows on the market offering this performance level. These features, at an appropriate price point, will provide  the basis for a successful market entry."
"Silver Fish Studios Ltd","LoO 11/0731 SFA","2011","22,920.00","2016","9,999.98","","P2","£ 66,400.00","To Support investment and employment related projects which increase business productivity."
"Peter Martin T/a Peter Martin Engineering","RD0911825  Compete Jump","2012","19,955.00","2015","8,257.27","BT35 9RL","P1","£ 39,910.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Mr Thomas Campbell","Piperhill Bioenergy Project","2013","244,995.00","2016","244,995.00","BT67 9JN","P3","£ 1,469,053.00","The project shall consist of a 350kW anaerobic digester, utilising on farm energy crops, primarily grass silage, triticale and fodder beet, together with cattle slurry from the existing farming activities, as feedstock.  The anaerobic digester technology shall be provided by Biogas Hochreiter GmbH from Germany.  The civil engineering aspects of the project shall be delivered by a Northern Ireland based civil engineering construction company with a proven track record in the successful delivery of such works."
"Queens University Belfast","RD0112902 - Prototype Development of Novel Wastewater Technology: BioSettler","2012","3,771.50","2015","2,771.50","BT7 1NN","P1","£ 7,543.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Carmichaels (NI) Limited","LoO 10/0999 MIS","2011","5,266.00","2015","4,747.10","BT42 3LZ","P1","£ 6,983.40","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Being Communications Ltd","RD0412052 - New Etelligent Product Suite","2012","19,834.00","2016","8,329.57","BT9 6AA","P1","£ 49,585.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
